CodMarca,CodModelo,CodAno,PrecoFipe,ChaveFipe
31,5418,2018-1,"R$ 134.017,00",31 5418 2018-1
48,5671,2016-1,"R$ 59.356,00",48 5671 2016-1
26,6436,2019-1,"R$ 70.120,00",26 6436 2019-1
29,7761,2017-1,"R$ 101.885,00",29 7761 2017-1
59,8532,2021-3,"R$ 307.083,00",59 8532 2021-3
22,8441,2019-1,"R$ 54.288,00",22 8441 2019-1
26,1328,2020-3,"R$ 131.034,00",26 1328 2020-3
39,7042,2015-1,"R$ 133.213,00",39 7042 2015-1
13,6835,2016-1,"R$ 43.022,00",13 6835 2016-1
7,7087,2015-3,"R$ 241.375,00",7 7087 2015-3
48,6617,2014-1,"R$ 34.252,00",48 6617 2014-1
57,6933,2019-3,"R$ 187.451,00",57 6933 2019-3
43,7983,2018-1,"R$ 87.558,00",43 7983 2018-1
23,8885,2020-1,"R$ 125.315,00",23 8885 2020-1
39,3938,2009-1,"R$ 56.627,00",39 3938 2009-1
59,8300,2020-1,"R$ 166.965,00",59 8300 2020-1
22,8316,2020-3,"R$ 173.497,00",22 8316 2020-3
56,8299,2019-3,"R$ 320.965,00",56 8299 2019-3
41,5424,2016-1,"R$ 81.533,00",41 5424 2016-1
21,7540,2020-1,"R$ 49.043,00",21 7540 2020-1
43,9168,2021-1,"R$ 63.284,00",43 9168 2021-1
23,6234,2019-1,"R$ 69.667,00",23 6234 2019-1
59,8426,2019-1,"R$ 72.452,00",59 8426 2019-1
26,7548,2019-1,"R$ 69.230,00",26 7548 2019-1
23,7690,2019-1,"R$ 70.801,00",23 7690 2019-1
59,8070,2020-1,"R$ 66.562,00",59 8070 2020-1
59,8488,2020-1,"R$ 146.320,00",59 8488 2020-1
23,8080,2019-1,"R$ 159.227,00",23 8080 2019-1
21,7971,2018-1,"R$ 64.018,00",21 7971 2018-1
59,5476,2020-3,"R$ 169.813,00",59 5476 2020-3
39,1647,2013-1,"R$ 360.513,00",39 1647 2013-1
59,4908,2012-1,"R$ 28.683,00",59 4908 2012-1
22,8211,2020-1,"R$ 92.230,00",22 8211 2020-1
22,6916,2018-1,"R$ 49.977,00",22 6916 2018-1
59,8068,2020-1,"R$ 83.486,00",59 8068 2020-1
56,7562,2018-1,"R$ 65.120,00",56 7562 2018-1
25,1256,1997-1,"R$ 34.970,00",25 1256 1997-1
26,1299,1997-1,"R$ 12.320,00",26 1299 1997-1
23,6612,2015-1,"R$ 72.815,00",23 6612 2015-1
21,8315,2021-1,"R$ 66.494,00",21 8315 2021-1
25,6271,2014-1,"R$ 53.511,00",25 6271 2014-1
25,4975,2019-1,"R$ 87.269,00",25 4975 2019-1
48,8580,2020-1,"R$ 79.237,00",48 8580 2020-1
21,8201,2019-1,"R$ 62.509,00",21 8201 2019-1
22,796,2016-1,"R$ 62.878,00",22 796 2016-1
59,2571,1995-2,"R$ 12.772,00",59 2571 1995-2
59,2571,1995-1,"R$ 13.896,00",59 2571 1995-1
59,4836,2010-1,"R$ 29.587,00",59 4836 2010-1
48,8789,2020-1,"R$ 52.473,00",48 8789 2020-1
25,6782,2015-1,"R$ 59.403,00",25 6782 2015-1
25,1256,1992-1,"R$ 15.854,00",25 1256 1992-1
59,2572,1995-2,"R$ 13.387,00",59 2572 1995-2
56,8360,2019-1,"R$ 82.133,00",56 8360 2019-1
22,720,1986-1,"R$ 8.374,00",22 720 1986-1
29,7762,2019-3,"R$ 177.424,00",29 7762 2019-3
26,4384,2012-1,"R$ 66.743,00",26 4384 2012-1
28,8286,2018-1,"R$ 269.700,00",28 8286 2018-1
56,8839,2021-1,"R$ 126.460,00",56 8839 2021-1
6,5234,2011-1,"R$ 78.100,00",6 5234 2011-1
31,1414,1995-1,"R$ 5.395,00",31 1414 1995-1
31,5417,2015-1,"R$ 97.621,00",31 5417 2015-1
22,6746,2016-1,"R$ 85.680,00",22 6746 2016-1
22,5345,2014-1,"R$ 36.276,00",22 5345 2014-1
23,7689,2019-1,"R$ 74.853,00",23 7689 2019-1
59,7217,2018-1,"R$ 63.764,00",59 7217 2018-1
23,8950,2021-1,"R$ 75.065,00",23 8950 2021-1
59,2368,2011-1,"R$ 39.768,00",59 2368 2011-1
22,813,2007-1,"R$ 12.507,00",22 813 2007-1
23,6234,2018-1,"R$ 67.225,00",23 6234 2018-1
44,8244,2019-1,"R$ 163.999,00",44 8244 2019-1
25,4971,2019-1,"R$ 90.459,00",25 4971 2019-1
43,1828,1997-3,"R$ 31.134,00",43 1828 1997-3
56,7406,2019-3,"R$ 240.097,00",56 7406 2019-3
25,7693,2018-1,"R$ 113.727,00",25 7693 2018-1
25,7151,2016-1,"R$ 91.448,00",25 7151 2016-1
43,8637,2020-1,"R$ 103.134,00",43 8637 2020-1
21,7971,2019-1,"R$ 70.907,00",21 7971 2019-1
23,8826,2021-1,"R$ 74.828,00",23 8826 2021-1
26,7832,2018-1,"R$ 87.405,00",26 7832 2018-1
59,5314,2015-1,"R$ 50.961,00",59 5314 2015-1
48,7377,2019-1,"R$ 80.284,00",48 7377 2019-1
56,8362,2019-1,"R$ 81.593,00",56 8362 2019-1
59,8069,2020-1,"R$ 94.313,00",59 8069 2020-1
23,4849,2019-1,"R$ 54.765,00",23 4849 2019-1
48,8792,2020-1,"R$ 58.420,00",48 8792 2020-1
13,4159,2007-1,"R$ 22.838,00",13 4159 2007-1
25,1256,1998-1,"R$ 35.957,00",25 1256 1998-1
177,7972,2020-1,"R$ 72.036,00",177 7972 2020-1
43,7670,2017-1,"R$ 86.747,00",43 7670 2017-1
23,7689,2018-1,"R$ 70.641,00",23 7689 2018-1
58,8876,2020-1,"R$ 301.213,00",58 8876 2020-1
26,7480,2019-1,"R$ 73.612,00",26 7480 2019-1
25,7693,2019-1,"R$ 121.403,00",25 7693 2019-1
29,8663,2019-3,"R$ 178.679,00",29 8663 2019-3
29,7761,2021-1,"R$ 134.064,00",29 7761 2021-1
48,8065,2019-1,"R$ 56.732,00",48 8065 2019-1
43,7670,2019-1,"R$ 98.857,00",43 7670 2019-1
41,5425,2016-1,"R$ 79.279,00",41 5425 2016-1
34,4260,2016-1,"R$ 165.948,00",34 4260 2016-1
29,7761,2018-1,"R$ 108.014,00",29 7761 2018-1
25,7150,2017-1,"R$ 95.603,00",25 7150 2017-1
59,8302,2019-1,"R$ 215.410,00",59 8302 2019-1
48,9061,2021-1,"R$ 101.103,00",48 9061 2021-1
25,7693,2020-1,"R$ 131.155,00",25 7693 2020-1
26,6739,2019-1,"R$ 62.063,00",26 6739 2019-1
48,8757,2021-1,"R$ 68.636,00",48 8757 2021-1
7,8570,2018-1,"R$ 180.886,00",7 8570 2018-1
28,7592,2016-1,"R$ 187.332,00",28 7592 2016-1
59,8323,2020-1,"R$ 52.269,00",59 8323 2020-1
26,6354,2019-1,"R$ 76.449,00",26 6354 2019-1
22,6918,2018-1,"R$ 48.469,00",22 6918 2018-1
59,2556,2004-1,"R$ 31.522,00",59 2556 2004-1
48,7959,2018-1,"R$ 66.669,00",48 7959 2018-1
13,7422,2017-1,"R$ 54.984,00",13 7422 2017-1
59,8464,2021-1,"R$ 74.281,00",59 8464 2021-1
29,7759,2018-1,"R$ 117.943,00",29 7759 2018-1
39,1641,2000-1,"R$ 132.638,00",39 1641 2000-1
22,6917,2016-1,"R$ 45.269,00",22 6917 2016-1
56,2284,1992-1,"R$ 14.885,00",56 2284 1992-1
21,8473,2021-3,"R$ 175.310,00",21 8473 2021-3
26,6433,2016-1,"R$ 74.228,00",26 6433 2016-1
25,1256,1994-1,"R$ 24.307,00",25 1256 1994-1
23,8821,2021-1,"R$ 63.156,00",23 8821 2021-1
22,6915,2016-1,"R$ 42.066,00",22 6915 2016-1
21,8199,2020-1,"R$ 69.696,00",21 8199 2020-1
41,8217,2020-3,"R$ 165.565,00",41 8217 2020-3
23,7691,2018-1,"R$ 50.402,00",23 7691 2018-1
26,6327,2014-1,"R$ 53.854,00",26 6327 2014-1
21,5272,2019-1,"R$ 53.180,00",21 5272 2019-1
23,6350,2017-1,"R$ 57.992,00",23 6350 2017-1
26,8317,2019-1,"R$ 56.016,00",26 8317 2019-1
59,4908,2010-1,"R$ 27.141,00",59 4908 2010-1
21,573,1995-1,"R$ 4.520,00",21 573 1995-1
41,5503,2016-1,"R$ 97.500,00",41 5503 2016-1
21,8473,2019-3,"R$ 153.509,00",21 8473 2019-3
59,4691,2015-1,"R$ 42.468,00",59 4691 2015-1
25,1273,2016-1,"R$ 69.988,00",25 1273 2016-1
48,8023,2018-1,"R$ 43.107,00",48 8023 2018-1
56,7407,2018-3,"R$ 237.053,00",56 7407 2018-3
25,7150,2018-1,"R$ 102.134,00",25 7150 2018-1
26,6207,2018-1,"R$ 59.591,00",26 6207 2018-1
22,6431,2014-1,"R$ 44.576,00",22 6431 2014-1
26,1328,2017-3,"R$ 103.876,00",26 1328 2017-3
59,5083,2014-1,"R$ 41.934,00",59 5083 2014-1
59,8323,2021-1,"R$ 56.692,00",59 8323 2021-1
25,4799,2015-1,"R$ 65.360,00",25 4799 2015-1
21,5343,2012-1,"R$ 39.181,00",21 5343 2012-1
59,4755,2014-1,"R$ 42.231,00",59 4755 2014-1
23,6612,2014-1,"R$ 69.847,00",23 6612 2014-1
23,950,2005-1,"R$ 21.100,00",23 950 2005-1
22,8006,2019-1,"R$ 77.264,00",22 8006 2019-1
21,5244,2015-1,"R$ 41.665,00",21 5244 2015-1
26,6434,2015-1,"R$ 50.707,00",26 6434 2015-1
13,6154,2016-1,"R$ 41.456,00",13 6154 2016-1
26,6435,2015-1,"R$ 54.975,00",26 6435 2015-1
59,7321,2018-1,"R$ 57.350,00",59 7321 2018-1
25,4973,2019-1,"R$ 95.101,00",25 4973 2019-1
13,5611,2012-1,"R$ 34.801,00",13 5611 2012-1
25,4976,2010-1,"R$ 40.911,00",25 4976 2010-1
23,5637,2014-1,"R$ 64.458,00",23 5637 2014-1
59,6278,2013-1,"R$ 102.387,00",59 6278 2013-1
41,5583,2012-1,"R$ 82.333,00",41 5583 2012-1
23,6350,2018-1,"R$ 61.133,00",23 6350 2018-1
22,4258,2012-1,"R$ 41.485,00",22 4258 2012-1
6,58,2005-1,"R$ 26.955,00",6 58 2005-1
29,7758,2017-1,"R$ 114.754,00",29 7758 2017-1
59,8717,2021-1,"R$ 205.740,00",59 8717 2021-1
26,6207,2015-1,"R$ 50.854,00",26 6207 2015-1
59,8325,2021-1,"R$ 61.525,00",59 8325 2021-1
21,5243,2016-1,"R$ 42.803,00",21 5243 2016-1
21,6711,2015-1,"R$ 39.158,00",21 6711 2015-1
48,7812,2019-1,"R$ 49.635,00",48 7812 2019-1
22,8079,2018-3,"R$ 162.628,00",22 8079 2018-3
31,6891,2016-1,"R$ 77.773,00",31 6891 2016-1
59,8532,2018-3,"R$ 225.712,00",59 8532 2018-3
56,6598,2018-1,"R$ 55.699,00",56 6598 2018-1
23,6232,2013-1,"R$ 39.456,00",23 6232 2013-1
21,4860,2011-1,"R$ 26.338,00",21 4860 2011-1
48,2012,2015-1,"R$ 30.568,00",48 2012 2015-1
59,7172,2016-1,"R$ 54.340,00",59 7172 2016-1
21,7751,2019-1,"R$ 73.853,00",21 7751 2019-1
39,6699,2014-1,"R$ 127.824,00",39 6699 2014-1
23,6490,2017-1,"R$ 51.480,00",23 6490 2017-1
59,2368,2015-1,"R$ 56.027,00",59 2368 2015-1
23,7305,2020-3,"R$ 225.375,00",23 7305 2020-3
48,8792,2021-1,"R$ 65.143,00",48 8792 2021-1
6,6044,2016-1,"R$ 118.648,00",6 6044 2016-1
59,2390,2004-1,"R$ 18.170,00",59 2390 2004-1
21,8518,2019-1,"R$ 73.402,00",21 8518 2019-1
23,6105,2017-1,"R$ 66.411,00",23 6105 2017-1
25,1276,2014-1,"R$ 48.433,00",25 1276 2014-1
44,8061,2018-1,"R$ 70.027,00",44 8061 2018-1
59,5195,2014-1,"R$ 61.507,00",59 5195 2014-1
21,5243,2012-1,"R$ 31.734,00",21 5243 2012-1
21,6662,2016-1,"R$ 58.973,00",21 6662 2016-1
43,6212,2013-1,"R$ 42.320,00",43 6212 2013-1
41,5425,2015-1,"R$ 73.410,00",41 5425 2015-1
21,8544,2020-1,"R$ 72.275,00",21 8544 2020-1
22,4257,2009-1,"R$ 36.157,00",22 4257 2009-1
43,6241,2016-3,"R$ 140.379,00",43 6241 2016-3
