Ano,CodAno,Modelo,CodModelo,Marca,CodMarca
2013 Gasolina,2013-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2012 Gasolina,2012-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2011 Gasolina,2011-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2010 Gasolina,2010-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2009 Gasolina,2009-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2008 Gasolina,2008-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2007 Gasolina,2007-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2018 Gasolina,2018-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2017 Gasolina,2017-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2016 Gasolina,2016-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2014 Gasolina,2014-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2013 Gasolina,2013-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2012 Gasolina,2012-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2011 Gasolina,2011-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
2010 Gasolina,2010-1,TTS 2.0 TFSI QUATTRO S TRONIC,5128,AUDI,6
32000 Gasolina,32000-1,118I SPORT 1.5 TB 12V AUT. 5P,8946,BMW,7
2022 Gasolina,2022-1,118I SPORT 1.5 TB 12V AUT. 5P,8946,BMW,7
2021 Gasolina,2021-1,118I SPORT 1.5 TB 12V AUT. 5P,8946,BMW,7
2020 Gasolina,2020-1,118I SPORT 1.5 TB 12V AUT. 5P,8946,BMW,7
2015 Gasolina,2015-1,118IA/ URBAN/SPORT 1.6 TB 16V 170CV 5P,5923,BMW,7
2014 Gasolina,2014-1,118IA/ URBAN/SPORT 1.6 TB 16V 170CV 5P,5923,BMW,7
2013 Gasolina,2013-1,118IA/ URBAN/SPORT 1.6 TB 16V 170CV 5P,5923,BMW,7
2012 Gasolina,2012-1,118IA/ URBAN/SPORT 1.6 TB 16V 170CV 5P,5923,BMW,7
2009 Gasolina,2009-1,120I 2.0 16V 150CV/ 156CV 5P,152,BMW,7
2008 Gasolina,2008-1,120I 2.0 16V 150CV/ 156CV 5P,152,BMW,7
2007 Gasolina,2007-1,120I 2.0 16V 150CV/ 156CV 5P,152,BMW,7
2006 Gasolina,2006-1,120I 2.0 16V 150CV/ 156CV 5P,152,BMW,7
2005 Gasolina,2005-1,120I 2.0 16V 150CV/ 156CV 5P,152,BMW,7
2019 Gasolina,2019-1,120IA SPORT 2.0/ACTIVEFLEX 16V AUT.,7178,BMW,7
2016 Gasolina,2016-1,120IA SPORT 2.0/ACTIVEFLEX 16V AUT.,7178,BMW,7
2015 Gasolina,2015-1,120IA SPORT 2.0/ACTIVEFLEX 16V AUT.,7178,BMW,7
32000 Gasolina,32000-1,218I GRAN COUPE SPORT GP 1.5 BI-TURBO,9036,BMW,7
2022 Gasolina,2022-1,218I GRAN COUPE SPORT GP 1.5 BI-TURBO,9036,BMW,7
2021 Gasolina,2021-1,218I GRAN COUPE SPORT GP 1.5 BI-TURBO,9036,BMW,7
2020 Gasolina,2020-1,218I GRAN COUPE SPORT GP 1.5 BI-TURBO,9036,BMW,7
2016 Gasolina,2016-1,225I ACTIVE TOURER SPORT 2.0 TB AUT.,7129,BMW,7
2015 Gasolina,2015-1,225I ACTIVE TOURER SPORT 2.0 TB AUT.,7129,BMW,7
2012 Gasolina,2012-1,318IA 2.0 16V 136CV 5P,5607,BMW,7
2011 Gasolina,2011-1,318IA 2.0 16V 136CV 5P,5607,BMW,7
1998 Gasolina,1998-1,318IS/ISA 1.9 16V,158,BMW,7
1997 Gasolina,1997-1,318IS/ISA 1.9 16V,158,BMW,7
1996 Gasolina,1996-1,318IS/ISA 1.9 16V,158,BMW,7
1995 Gasolina,1995-1,318IS/ISA 1.9 16V,158,BMW,7
1994 Gasolina,1994-1,318IS/ISA 1.9 16V,158,BMW,7
1993 Gasolina,1993-1,318IS/ISA 1.9 16V,158,BMW,7
2007 Gasolina,2007-1,320I,161,BMW,7
2006 Gasolina,2006-1,320I,161,BMW,7
1993 Gasolina,1993-1,320I,161,BMW,7
1992 Gasolina,1992-1,320I,161,BMW,7
1991 Gasolina,1991-1,320I,161,BMW,7
32000 Gasolina,32000-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2022 Gasolina,2022-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2021 Gasolina,2021-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2020 Gasolina,2020-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2019 Gasolina,2019-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2018 Gasolina,2018-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2017 Gasolina,2017-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2016 Gasolina,2016-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2015 Gasolina,2015-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2014 Gasolina,2014-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
2013 Gasolina,2013-1,320IA MODERN/SPORT TB 2.0/A.FLEX/GP 4P,6091,BMW,7
1998 Gasolina,1998-1,323I SPORT,167,BMW,7
2014 Gasolina,2014-1,328IA 2.0 TB/2.0 TB FLEX 16V 4P,6046,BMW,7
2013 Gasolina,2013-1,328IA 2.0 TB/2.0 TB FLEX 16V 4P,6046,BMW,7
2012 Gasolina,2012-1,328IA 2.0 TB/2.0 TB FLEX 16V 4P,6046,BMW,7
2016 Gasolina,2016-1,328IA GT M SPORT 2.0 TURBO 16V 245CV 5P,6633,BMW,7
2015 Gasolina,2015-1,328IA GT M SPORT 2.0 TURBO 16V 245CV 5P,6633,BMW,7
2014 Gasolina,2014-1,328IA GT M SPORT 2.0 TURBO 16V 245CV 5P,6633,BMW,7
2021 Gasolina,2021-1,330I M SPORT 2.0 TB 16V 4P,8630,BMW,7
2020 Gasolina,2020-1,330I M SPORT 2.0 TB 16V 4P,8630,BMW,7
2019 Gasolina,2019-1,330I M SPORT 2.0 TB 16V 4P,8630,BMW,7
2007 Gasolina,2007-1,330IA TOP 4P,195,BMW,7
2006 Gasolina,2006-1,330IA TOP 4P,195,BMW,7
2005 Gasolina,2005-1,330IA TOP 4P,195,BMW,7
2004 Gasolina,2004-1,330IA TOP 4P,195,BMW,7
2003 Gasolina,2003-1,330IA TOP 4P,195,BMW,7
2002 Gasolina,2002-1,330IA TOP 4P,195,BMW,7
2001 Gasolina,2001-1,330IA TOP 4P,195,BMW,7
2016 Gasolina,2016-1,535IA M SPORT 3.0 24V 306CV BI-TURBO,6415,BMW,7
2015 Gasolina,2015-1,535IA M SPORT 3.0 24V 306CV BI-TURBO,6415,BMW,7
2014 Gasolina,2014-1,535IA M SPORT 3.0 24V 306CV BI-TURBO,6415,BMW,7
2013 Gasolina,2013-1,535IA M SPORT 3.0 24V 306CV BI-TURBO,6415,BMW,7
2012 Gasolina,2012-1,550IA 4.4 32V 407CV BI-TURBO,5268,BMW,7
2011 Gasolina,2011-1,550IA 4.4 32V 407CV BI-TURBO,5268,BMW,7
2010 Gasolina,2010-1,550IA 4.4 32V 407CV BI-TURBO,5268,BMW,7
1997 Gasolina,1997-1,740I,216,BMW,7
1996 Gasolina,1996-1,740I,216,BMW,7
1995 Gasolina,1995-1,740I,216,BMW,7
1994 Gasolina,1994-1,740I,216,BMW,7
1993 Gasolina,1993-1,740I,216,BMW,7
1992 Gasolina,1992-1,740I,216,BMW,7
1997 Gasolina,1997-1,840CI,225,BMW,7
1996 Gasolina,1996-1,840CI,225,BMW,7
1995 Gasolina,1995-1,840CI,225,BMW,7
1994 Gasolina,1994-1,840CI,225,BMW,7
1993 Gasolina,1993-1,840CI,225,BMW,7
1992 Gasolina,1992-1,840CI,225,BMW,7
2020 Gasolina,2020-1,M4 COUPE 3.0 BI-TURBO 24V 431CV 2P,7116,BMW,7
2019 Gasolina,2019-1,M4 COUPE 3.0 BI-TURBO 24V 431CV 2P,7116,BMW,7
2017 Gasolina,2017-1,M4 COUPE 3.0 BI-TURBO 24V 431CV 2P,7116,BMW,7
2016 Gasolina,2016-1,M4 COUPE 3.0 BI-TURBO 24V 431CV 2P,7116,BMW,7
2015 Gasolina,2015-1,M4 COUPE 3.0 BI-TURBO 24V 431CV 2P,7116,BMW,7
2015 Gasolina,2015-1,M5 4.4 560CV BI-TURBO AUT.,6260,BMW,7
2014 Gasolina,2014-1,M5 4.4 560CV BI-TURBO AUT.,6260,BMW,7
2013 Gasolina,2013-1,M5 4.4 560CV BI-TURBO AUT.,6260,BMW,7
2012 Gasolina,2012-1,M5 4.4 560CV BI-TURBO AUT.,6260,BMW,7
2014 Gasolina,2014-1,X1 SDRIVE 18I 2.0 16V 4X2 AUT.,5269,BMW,7
2013 Gasolina,2013-1,X1 SDRIVE 18I 2.0 16V 4X2 AUT.,5269,BMW,7
2012 Gasolina,2012-1,X1 SDRIVE 18I 2.0 16V 4X2 AUT.,5269,BMW,7
2011 Gasolina,2011-1,X1 SDRIVE 18I 2.0 16V 4X2 AUT.,5269,BMW,7
2010 Gasolina,2010-1,X1 SDRIVE 18I 2.0 16V 4X2 AUT.,5269,BMW,7
32000 Gasolina,32000-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2022 Gasolina,2022-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2021 Gasolina,2021-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2020 Gasolina,2020-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2019 Gasolina,2019-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2018 Gasolina,2018-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2017 Gasolina,2017-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2016 Gasolina,2016-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2015 Gasolina,2015-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2014 Gasolina,2014-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2013 Gasolina,2013-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
2012 Gasolina,2012-1,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,6230,BMW,7
32000 Gasolina,32000-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2022 Gasolina,2022-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2021 Gasolina,2021-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2020 Gasolina,2020-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2019 Gasolina,2019-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2018 Gasolina,2018-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2017 Gasolina,2017-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2016 Gasolina,2016-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2015 Gasolina,2015-1,X1 SDRIVE 20I X-LINE 2.0 TB ACTIVE FLEX,8570,BMW,7
2022 Gasolina,2022-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2021 Gasolina,2021-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2020 Gasolina,2020-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2019 Gasolina,2019-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2018 Gasolina,2018-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2017 Gasolina,2017-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2016 Gasolina,2016-1,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,7449,BMW,7
2014 Gasolina,2014-1,X1 XDRIVE 28I 2.0 TURBO 16V 4X4 AUT.,6151,BMW,7
2013 Gasolina,2013-1,X1 XDRIVE 28I 2.0 TURBO 16V 4X4 AUT.,6151,BMW,7
2012 Gasolina,2012-1,X1 XDRIVE 28I 2.0 TURBO 16V 4X4 AUT.,6151,BMW,7
2015 Gasolina,2015-1,X1 XDRIVE 28I SPORT 2.0 ACTIVEFLEX AUT.,7086,BMW,7
32000 Gasolina,32000-1,X2 SDRIVE 18I 1.5 ACTIVEFLEX 136CV AUT.,8510,BMW,7
2022 Gasolina,2022-1,X2 SDRIVE 18I 1.5 ACTIVEFLEX 136CV AUT.,8510,BMW,7
2021 Gasolina,2021-1,X2 SDRIVE 18I 1.5 ACTIVEFLEX 136CV AUT.,8510,BMW,7
2020 Gasolina,2020-1,X2 SDRIVE 18I 1.5 ACTIVEFLEX 136CV AUT.,8510,BMW,7
2019 Gasolina,2019-1,X2 SDRIVE 18I 1.5 ACTIVEFLEX 136CV AUT.,8510,BMW,7
2022 Gasolina,2022-1,X2 SDRIVE 20I 2.0/2.0 TB A. FLEX 16V AUT,8338,BMW,7
2021 Gasolina,2021-1,X2 SDRIVE 20I 2.0/2.0 TB A. FLEX 16V AUT,8338,BMW,7
2020 Gasolina,2020-1,X2 SDRIVE 20I 2.0/2.0 TB A. FLEX 16V AUT,8338,BMW,7
2019 Gasolina,2019-1,X2 SDRIVE 20I 2.0/2.0 TB A. FLEX 16V AUT,8338,BMW,7
2021 Gasolina,2021-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2020 Gasolina,2020-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2019 Gasolina,2019-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2017 Gasolina,2017-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2016 Gasolina,2016-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2015 Gasolina,2015-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2014 Gasolina,2014-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2013 Gasolina,2013-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2012 Gasolina,2012-1,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,6417,BMW,7
2017 Gasolina,2017-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2016 Gasolina,2016-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2015 Gasolina,2015-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2014 Gasolina,2014-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2013 Gasolina,2013-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2012 Gasolina,2012-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
2011 Gasolina,2011-1,X3 XDRIVE 35I/M-SPORT 3.0 306CV BI-TURBO,5497,BMW,7
32000 Gasolina,32000-1,X4 XDRIVE 30I M-SPORT 2.0 TB. 252CV AUT,8512,BMW,7
2022 Gasolina,2022-1,X4 XDRIVE 30I M-SPORT 2.0 TB. 252CV AUT,8512,BMW,7
2021 Gasolina,2021-1,X4 XDRIVE 30I M-SPORT 2.0 TB. 252CV AUT,8512,BMW,7
2020 Gasolina,2020-1,X4 XDRIVE 30I M-SPORT 2.0 TB. 252CV AUT,8512,BMW,7
2019 Gasolina,2019-1,X4 XDRIVE 30I M-SPORT 2.0 TB. 252CV AUT,8512,BMW,7
2003 Gasolina,2003-1,X5 4.4 4X4,243,BMW,7
2002 Gasolina,2002-1,X5 4.4 4X4,243,BMW,7
2001 Gasolina,2001-1,X5 4.4 4X4,243,BMW,7
2000 Gasolina,2000-1,X5 4.4 4X4,243,BMW,7
2010 Gasolina,2010-1,X5 SPORT 4.8 4X4 V8 32V 355CV,4331,BMW,7
2009 Gasolina,2009-1,X5 SPORT 4.8 4X4 V8 32V 355CV,4331,BMW,7
2008 Gasolina,2008-1,X5 SPORT 4.8 4X4 V8 32V 355CV,4331,BMW,7
2007 Gasolina,2007-1,X5 SPORT 4.8 4X4 V8 32V 355CV,4331,BMW,7
2006 Gasolina,2006-1,X5 SPORT 4.8 4X4 V8 32V 355CV,4331,BMW,7
2015 Diesel,2015-3,X5 XDRIVE 30D FULL 3.0 258CV DIESEL,7087,BMW,7
2015 Gasolina,2015-1,X5 XDRIVE 50I 4.4  BI-TURBO,5357,BMW,7
2014 Gasolina,2014-1,X5 XDRIVE 50I 4.4  BI-TURBO,5357,BMW,7
2012 Gasolina,2012-1,X5 XDRIVE 50I 4.4  BI-TURBO,5357,BMW,7
2011 Gasolina,2011-1,X5 XDRIVE 50I 4.4  BI-TURBO,5357,BMW,7
2019 Gasolina,2019-1,X6 XDRIVE 35I 3.0 306CV BI-TURBO,4745,BMW,7
2018 Gasolina,2018-1,X6 XDRIVE 35I 3.0 306CV BI-TURBO,4745,BMW,7
